Observation,StateDate,Meal
328, 12 July 2001,"Chicken fried steak, mashed potatoes with gravy, fried okra, bread with butter, mixed fresh veggies, donuts, chocolate cake with icing and sweet tea."
329, 12 July 2000,"Fried chicken, sweet peas, a Dr Pepper, and apple pie for dessert. "
330, 12 January 2010,"Fried chicken, a cheese and onion omelets and chocolate cake."
331, 12 January 2000,"A variety of fresh fruit and vegetables, cheese, lunch meat, deviled eggs, six fried cheese-stuffed jalapenos, a chef salad with ranch dressing, onion rings, french fries, a cheeseburger, two fried chicken breasts, barbecue pork rolls, an omelet, milk and orange juice."
332, 12 February 2009,"2 large pizzas, a bucket of fried chicken, ice cream."
333, 12 February 2009,"Two bacon cheeseburgers with onions, two chili-cheese hot dogs with onions, French fries, two fudge nut brownies and sweet tea."
334, 12 December 2001,"Pizza (beef, bacon bits, cheese), 10 quesadillas (5 mozzarella cheese, 5 cheddar cheese), 5 strips of open-flame grilled beef, 5 strips of stir-fried beef, chocolate peanut butter ice cream, sweet tea, double fudge chocolate cake, broccoli, and grapes. "
335, 12 August 2010,"Pizza, Mountain Dew, and 2 bacon, lettuce, and tomato sandwiches."
336, 12 August 2008,"Boiled eggs, pork chops, fried chicken, tacos, fried okra, potato salad, french fries, bacon, baked potatoes, sour cream, sliced onions, jalapeno peppers, pickles, cabbage, tomatoes, and sprite soda."
337, 12 April 1999,No final meal request.
338, 11 May 2000,"Steak, asparagus, brussels sprouts, feta cheese, a soft drink, cake and watermelon."
339, 11 May 1994,"Four fried chicken legs and thigh quarters, macaroni and cheese, fried okra, jalapeno peppers, 10 flour tortillas and a six pack of cola."
340, 11 May 1994,"Final meal request of a medium rare 32-ounce steak, shrimp, salad and banana creme pie."
341, 11 March 2010,"Double-bacon cheeseburger, fries and a slice of cheesecake."
342, 11 June 2009,Breakfast food including fried eggs.
343, 11 June 2008,"Five pieces of fried chicken, one double meat hamburger with cheese and onion, onion rings, three cheese and onion enchiladas, one onion, french fries, hot sauce, pico de gallo, jalapeno peppers and two cokes."
344, 11 July 2006,"2 vanilla milkshakes, extra crispy French fries, extra crispy fried oysters, soft drinks."
345, 11 July 2001,"Fried chicken, french fries, lemon cake, root beer and Sprite. "
346, 11 January 2011,"Four pieces of fried chicken (dark meat), fried okra, french fries, salad with blue cheese, four hardboiled eggs with cheese, one pint butter pecan ice cream, two honey buns, two cokes."
347, 11 January 2001,"Frankfurters, French fries, American cheese, custard and chocolate cake with chocolate frosting, but refused to eat when meal was presented."
348, 11 February 2009,"Kraft Cheese & Macaroni, Beef Flavored Rice-A-Roni."
349, 11 December 2009,"Fried chicken, pizza and soda."
350, 11 December 2002,"Combination barbecue platter, with chicken, chopped brisket, ribs and hot links, barbecue sauce, a large order baked beans and extra bread. "
351, 11 December 2001,No final meal request.
352, 11 December 1997,"Two double-meat bacon burgers, bbq ribs, freedom fries, onion rings, root beer soda, banana split ice cream and peach cobbler."
353, 11 August 2006,"Chicken, 3 pieces of fish, burgers, pizza, fruit (grapes, plums, peaches, apples, tangerines), doughnuts, walnuts, chocolate candy bar, plain potato chips, picante sauce, hot sauce, salad with ranch dressing, Coke, and Sprite."
354, 10 September 2010,Four olives and a bottle of wild-berry flavored water.
355, 10 November 2009,Hamburger with cheese and jalapenos and a vanilla shake.
356, 10 November 2009,"Fried steak (well done), baked chicken with gravy, brown beans, pecan pie, cherry Kool-Aid."
357, 10 May 2002,"Chef salad with ranch dressing, 12 pieces of fried chicken, five jalapeno nachos with chili cheese, four fried eggs over easy, French fries, onion rings, six Cokes, 6 Big Reds, and ketchup."
358, 10 May 1995,No final meal request.
359, 10 March 2011,"Fried chicken (2 legs, 2 thighs), BBQ ribs, French fries, German chocolate cake, 2 bananas, Ice water, and Ketchup and BBQ sauce. "
360, 10 June 2010,"Two fried chicken quarters, two fried pork chops, one bowl of peaches, one order of fries and a salad. "
361, 10 July 2008,No final meal request.
362, 10 July 2008,Requested that final meal not be revealed to the public
363, 10 January 2007,"Steak, fried okra, french fries, strawberry ice cream and a Dr. Pepper."
364, 10 February 2009,"Turkey, potatoes and gravy, a salad and pumpkin pie."
365, 10 February 2000,"10 pieces of deep-fried jumbo shrimp, 2 pieces of garlic bread, 2 pieces of chicken (dark meat), one tossed salad with thousand island dressing, one chocolate milkshake."
366, 10 February 1998,"Cheeseburger, onion rings, a beef enchilada, tea, Coca-Cola, a whole onion, a whole tomato and lemon pie."
367, 10 December 1996,"2 double meat cheeseburgers (all the way), french fries, 3 beef skirt tacos, guacamole salad, salt, 2 fried chicken breasts."
368, 10 August 2010,"1 Bacon cheeseburger, 3 Pounder Pizza, and 1 banana malt."
369, 10 August 2000,"Six pieces of fried chicken with hot sauce, six jalapeno peppers, extra large french fries with ketchup and salt, for buttered rolls or biscuits, two large sprites and two cigarettes (menthol preferred)."
370, 10 April 2002,One cheeseburger.
371, 09 September 2010,"Soup, beef, toast and tea provided (one of three executions this date)."
372, 09 September 2004,"Fried chicken breasts, french fries, green beans and a plain chocolate brownie."
373, 09 October 2002,Cheese pizza and fried chicken tenders.
374, 09 November 2006,"Tray of french fries with salt, ketchup, 1 tray of nachos with cheese & jalapenos, 1 cheeseburger with mustard & everything, 1 pitcher of sweet tea."
375, 09 November 2000,"2 Arby's Roast Beef Sandwiches, fresh fries, 1 hamburger, Pepsi, and 1 pint chocolate ice cream."
376, 09 May 2007,"Mexican platter with all the works, 2 Classic Cokes, pickles, olives, Cookies 'n Cream ice cream."
377, 09 May 2002,"4 pieces of fried chicken, 2 Cokes."
378, 09 May 2000,One Honey Bun.
379, 09 March 1999,"Popcorn shrimp, hush puppies, french fries and a Coke."
380, 09 June 2010,"12 pieces of fried chicken, mashed potatoes with brown gravy, 2 rolls with butter, 2 Pepsi, 1 pint of strawberry ice cream, 1 pint of vanilla ice cream."
381, 09 June 2009,"Fried chicken, french fries, ketchup, 2 cheeseburgers (all the way), bag of potato chips, apple cobbler, white cake with white icing, pitcher of lemonade, pitcher of Sprite."
382, 09 January 2007,"Burritos w/ Spanish sauce, Spanish rice, creamed corn, tossed salad w/ dressing, peach crisp, iced tea."
383, 09 January 2007,"Two Wendy's Single Cheeseburgers with lettuce, tomato, mustard and ketchup, large fries, 1 Pepsi, large Frosty."
384, 09 January 2002,"12 pieces of chicken (thighs & drumsticks), 2 double-meat cheeseburgers on toasted buns, 1 large plate of brown french fries, ketchup, 2 large onions (cut in slices), 6 sweet pickles, salad dressing, 5 sliced jalapeno peppers, peach cobbler with extra crust, milk."
385, 09 January 2001,"6 pieces of fried chicken, potato salad with mustard, macaroni & cheese, 8 cinnamon rolls, 1 pint of vanilla ice cream, pitcher of milk, ketchup."
386, 09 January 2001,Ate very little in the days before the execution and did not make the traditional request for a last meal.
387, 09 February 2011,"Fried crappie, two large onions, large green salad, blue cheese or Roquefort cheese dressing, hush puppies, buttermilk."
388, 09 December 1999,"8 soft fried eggs (yellow runny), big bowl of grits, 5 biscuits with bowl of butter, 5 pieces of fried hard & crisp bacon, 2 sausage patties, pitcher of chocolate milk, 2 pts. vanilla Blue Bell ice cream, 2 bananas."
389, 09 August 2000,Mexican dish with all the fixings.
390, 09 August 2000,"6 scrambled eggs, hash browns with onions, 2 sausage patties, biscuits with butter, 2 pints of strawberry cheesecake yogurt, 2 pitchers of sweet milk, pint of strawberry ice cream."
391, 09 April 2003,"Fried pork chops and chicken, garlic toast and ice cream"
392, 08 September 1999,"Liver and onions, mashed potatoes & gravy, whole milk."
393, 08 September 1999,"3 fried chicken quarters, fried squash, fried egg plant (sic), mashed potatoes, snap peas, boiled cabbage, 3 buttered corn on the cob, spinach, broccoli with cheese, pint of caramel pecan fudge or Tin Roof ice cream, pitcher of sweet tea."
394, 08 October 2009,"1 dozen fried eggs, over easy, 1 loaf of bread, a bowl of salad dressing, french fries, 3 cartons of milk."
395, 08 November 2006,"Double meat cheeseburger (all the way with jalapenos), french fries, ketchup, 3 enchiladas, 3 tacos, banana pudding with real bananas, 2 Dr. Peppers, 1 apple, 1 Snicker bar."
396, 08 November 2000,"Barbecue chicken, rice & gravy, pinto beans, fresh early June peas, fresh squash, peaches, hot rolls, tea."
397, 08 May 2009,"Jar of polish pickles, small wedge of cheese, tossed salad with Italian dressing, cheeseburger with mayo (all the way), large order of french fries, ketchup, relish tray, pitcher of grape juice."
398, 08 June 2000,"8 soft fried eggs, bacon, sausage, 1 T-bone steak (well-done), 6 slices of buttered toast with strawberry jelly, pitcher of cold milk."
399, 08 July 1999,"2 grilled cheese sandwiches, french fries, ketchup, 2 boiled eggs, 2 cinnamon rolls with icing, 2 cans of grape juice, coffee."
400, 08 July 1998,"5 chicken patties, 10 slices of cheese, 5 hamburger buns (mustard on each side), 2 sliced pickles (whole), 2 bags of Doritos, 2 cokes, 1 pint of Tin Roof ice cream."
401, 08 January 1999,1 jar of dill pickles.
402, 08 January 1997,"3 beef enchiladas with onions, 3 cheese enchiladas with onions, Spanish rice, bowl of jalapenos, french fries, cheeseburger all the way, bowl of mayonnaise, bowl of ketchup, bowl of pico de gallo, 3 Dr. Peppers, pitcher of ice, banana split ice cream, 4 quesadillas."
403, 08 January 1997,"1 cheeseburger with American, cheddar, mozzarella cheese, no mayonnaise, mustard or onions, large french fries, bowl of macaroni & cheese, lasagna with 2 slices of garlic bread, 4 oz. of nacho cheese, 3 large cinnamon rolls, 5 scrambled eggs, 8 pints of chocolate milk."
404, 08 February 2001,"Shrimp fettuccini alfredo, salad, garlic bread, 1 slice of strawberry cheesecake, and iced tea sweetened with sugar."
405, 08 December 2009,"1 apple, 1 orange, 1 banana, coconut, and peaches."
406, 08 December 1999,No final meal request.
407, 08 August 2006,"Double meat cheeseburger (all the way), mayonnaise and mustard, French fries, 3 scrambled eggs, vanilla milkshake."
408, 08 August 2001,"Beef fajitas, spicy, beans, rice, flour tortillas, onions, tomatoes, avocado, banana split, orange juice (one of two executions this date)."
409, 08 August 1996,"2 double cheeseburgers (all the way with mayo and mustard), fries, fried chicken, well done, chocolate cake, onion rings, 1 pint vanilla ice cream, six pack of Sprite (two of two executions this date)."
410, 07 May 2001,"Four fried pork chops, collard greens with boiled okra and ""boiling meat"", fried corn, fried fatback, fried green tomatoes, cornbread, lemonade, one pint of strawberry ice cream and three glazed donuts."
411, 07 May 1992,"1/2 pound hamburger steak (well done), brown gravy, grilled onions, large order of deep french-fried fries, ketchup, 5 pieces of buttered grilled  toast, ice tea with real sugar, hot honey buns with melted butter on the side."
412, 07 March 2002,Requested that final meal not be revealed to the public.
413, 07 March 2001,"Enchiladas, burritos, chocolate ice cream, whole cantaloupe (spilt in half)."
414, 07 June 2000,"Fried chicken (2 thighs & wing), 1 pound of bacon, 16 ounce T-bone steak, Big Red, and coffee."
415, 07 January 2010,"After meal said, “No hot coffee? Then give me hot whiskey. I like that better anyway” (Last Words of the Executed, p. 111, by Robert Elder)."
416, 07 January 2010,"Lobster tail, butterfly shrimp, a baked potato, strawberry cheesecake and sweet tea. A prison official reported, ""He enjoyed his last meal. He ate every bite."""
417, 07 January 2010,"12 ounce T-bone steak, pork tenderloin sandwich, bacon, lettuce and tomato sandwich, French fries, orange juice, butter pecan ice cream."
418, 07 February 2007,"T-bone steak cooked medium well with A1 Steak Sauce; potato and cheese pirogies with chopped onions; baked potato with sour cream and butter; dinner rolls with butter; fresh broccoli; cauliflower, celery, carrots and cherry tomatoes with ranch dressing; strawberry milk; strawberry cheesecake."
419, 07 February 2006,"Fresh skinless fried chicken (5 breasts, 20 wings), carrot cake, white coconut cake, and cheesecake with cherry topping."
420, 07 February 2001,"1/2 dozen sunny side up fried eggs, 8 pieces of pan sausage, 6 slices of toast with butter and grape jelly, milk, and orange juice."
421, 07 December 2000,"Justice, equality, world peace."
422, 07 December 2000,Served fried chicken and watermelon (two of two  executions on this date: age 16).
423, 07 August 2008,1 cracker and grape juice.
424, 07 August 2003,"16 oz. top sirloin steak (medium rare), french fries, 1 dozen deep-fried butterfly shrimp, 1 whole cherry cheesecake, 1 case Pepsi, 1 pot coffee."
425, 07 April 1995,Requested that final meal not be revealed to the public
426, 06 October 2010,"McRib sandwich from McDonald's, a double cheeseburger from Wendy's, macaroni and cheese, cheesecake and a Pepsi."
427, 06 November 2008,2 large pepperoni pizzas and strawberry ice cream.
428, 06 November 2008,"2 breaded pork chops, 3 scrambled eggs, French fries, milk."
429, 06 November 2001,"1/2 lb. chitterlings, fried chicken (dark meat), 10 slices of bacon, 1 raw onion, fried shrimp, peach cobbler, 1 pitcher of milk."
430, 06 March 2007,"Grilled chicken salad with ranch dressing nachos and cheese with picante, Cookies 'n Cream ice cream, and 2 root beers."
431, 06 June 2007,"Fried catfish, fried chicken, French fries, onion rings, green salad, fresh carrots, and Coke."
432, 06 January 2011,"4 bacon, lettuce, and tomato sandwiches, iced tea, and potato chips."
433, 06 January 2000,"Four pieces of fried chicken, biscuits and gravy and milk."
434, 06 February 2002,Requested that final meal not be revealed to the public.
435, 06 December 2001,"Turkey with dressing, tossed salad with blue cheese dressing, strawberry cheesecake and a Coke."
436, 06 August 1997,Regular prison menu.
437, 06 April 1992,Pizza.
438, 05 September 2007,"Steak, potatoes, milk and coffee and a six-pack of beer; consumed only milk and coffee (his uncle claims to have smuggled in three small, 70ml Jack Daniel's whiskey shot bottles that were consumed)."
439, 05 November 2009,"Soup, beef, toast and tea provided (three of three executions this date)."
440, 05 May 2007,"Double cheeseburger, French fries with onions and cheese, baked potato with sour cream, cheese, and butter, 2 fried pork chops, 3 beef enchiladas, and chocolate cake."
441, 05 May 1999,"Kentucky Fried Chicken, mashed potatoes, biscuits, banana split, and pop."
442, 05 January 2012,"2 double meat cheeseburgers with all vegetables and bacon, French fries, 2 cans of Coke, 5 jalapeno peppers, 5 pieces of fried chicken (white/dark meat), 3 buttermilk biscuits, and a steak."
443, 05 January 1993,"Steak, lobster salad with blue cheese and thousand island dressing, baked potato with sour cream, strawberry cheesecake, 2 espressos."
444, 05 December 2008,Refused to make a last meal request.
445, 05 December 2000,Chicken in red sauce and some strawberry cake.
446, 05 August 2008,"Fried steak, fries, greens (Last supper poem by Robert Johnson describes steak diced into small squares and re-assembled)."
447, 05 August 2004,"Stay of execution. Ate what would have been a last meal - fried chicken, French fries and apple pie (executed 16 March 2000)."
448, 04 November 2010,"Chicken stir fry, a salad, cookies and an orange drink. He then told jail officials that he did not want the last meal he'd ordered."
449, 04 May 2006,"4 pieces of crispy fried chicken (2 thighs and 2 breasts), 4 fried pork chops (well done), 6 cheese enchiladas (2 beef, 2 cheese, 2 pork), 1 bowl of pico de gallo and a bottle of ketchup, onion rings, salad, 1 onion, 6 slices of white bread, 6 cold Cokes."
450, 04 March 2009,First  inmate not allowed a special meal. Served standard prison meal.
451, 04 February 2010,"Cheese pizza, a cheese omelet with sausage, green peppers and onions, and white cake with white icing."
452, 04 February 2009,"Shrimp, mushrooms and deep-fried onions appetizers, New York strip steak, a chicken breast, baked potato, salad, and 7-Up soft drink."
453, 04 February 2009,No final special meal request.
454, 04 February 1999,"BLT sandwich, berries with whipped cream, french fries, onion rings and a Dr Pepper."
455, 03 October 2001,"T-bone steak, well done with A-1 Steak sauce, baked potato, french fries, grape drink and chocolate cake."
456, 03 May 2007,"Two dozen jumbo fried shrimp with tarter sauce and ketchup, two large orders of fried onion rings and french fries, one raw regular onion, six pieces of garlic bread, two cold 32 oz. Cokes, two 32 oz. strawberry milkshakes (date unknown: granted stay and had a second identical final meal on 18 October 2006). "
457, 03 May 1996,Requested that final meal not be revealed to the public.
458, 03 March 2009,Requested that final meal not be revealed to the public
459, 03 March 1999,"No request. Offered same dinner served yesterday to all inmates: sloppy joes, boiled potatoes, corn, and chocolate cake."
460, 03 March 1993,"Fried rice, bananas, boiled eggs and wheat bread."
461, 03 June 2009,"Chose nothing special. Served standard prison fare of baked chicken, rice and carrots. Ate only chicken."
462, 03 June 1998,"Made no special request for a last meal and was served what the other inmates had: Salisbury steak, steamed rice, brown gravy, tossed salad, sliced bread, gingerbread cake with lemon sauce, fruit punch and milk."
463, 03 February 1999,"Fried won ton, Hong tea beef, Thai sweet and sour chicken, chicken fried rice, 3 bananas, 1 orange, 1 apple, sliced fruit, 1 water pitcher, 1 container Thai hot sauce, tea."
464, 03 December 2009,"Pepper steak, macaroni and cheese, biscuits, vanilla cake and tea."
465, 03 August 2006,"Stay of execution. Ate what would have been a last meal of oven-fried chicken, rice pilaf, a cucumber and onion salad, and bread and margarine."
466, 03 August 1994,Requested that final meal not be revealed to the public.
467, 03 August 1994,"Regular prison menu: Hot dog with mustard and onions, oven-browned potatoes, cole-slaw and watermelon."
468, 03 August 1994,"2 grilled cheese sandwiches, pint of cottage cheese, hominy, piece of peach pie, pint of chocolate ice cream, radishes."
469, 03 April 2001,"Final meal of pizza pockets, ice cream, iced oatmeal cookies and milk."
470, 02 May 2006,Declined.
471, 02 May 2000,Requested that final meal not be revealed to the public.
472, 02 March 2010,"Fried shrimp, baked potato, a pint of chocolate ice cream, and 2 soft drinks."
473, 02 June 2010,"Vegetarian pizza, fried chicken breasts, a cheeseburger, fries, and chocolate pudding."
474, 02 June 2009,"Vegetarian pizza, french fries, yellow cake with chocolate frosting, and iced tea."
475, 02 December 2009,"Fish, fries, soda."
476, 01 September 1999,"Fried chicken, French fries with ketchup, corn, dinner rolls and butter, apple pie."
477, 01 November 2006,No final meal request.
478, 01 November 2000,"Ten chili cheese enchiladas, a cheese pizza, one cheeseburger and sweet tea."
479, 01 May 2001,"Pizza, a cheeseburger, french fries and apple pie."
480, 01 March 2001,"Fried chicken, fried turkey, steak, a baked potato with sour cream and butter, a tossed salad, cranberry sauce, ketchup and peach cobbler."
481, 01 March 2000,"Declined the traditional offer of a special last meal. Served what the other inmates were fed: bread, beef patties, au gratin potatoes, gravy, string beans, chilled fruit and beverage."
482, 01 June 2006,Asked for a bottle of Dom Perignon (didn’t receive it).
483, 01 July 2010,Requested that final meal not be revealed to the public.
484, 01 February 2001,Declined a last meal.
485, 14 January 2009,"Soup, beef, toast and tea provided (two of three executions this date). "
486,19-Nov-09,Declined a last meal.
487,11-Jul-07,"French fries with lots of ketchup, tossed salad with French dressing, a cheeseburger with mayonnaise and tomato, Saltine crackers and apple pie."
488,18-Apr-06,"Sausage pizza, french fries and cherry pie."
489,26-Mar-04,Requested that final meal not be revealed to the public.
490,18-Mar-03,A full meal of enchiladas.
491,06-Nov-01,Raisin bagels and coffee (DOC record for same inmate as preceding page).
492,15-Oct-99,"Fifteen enchiladas heavy with cheese and onions, onion rings or fries, eight pieces fried chicken and eight pieces bbq chicken, eight whole peppers, ten hard shell tacos with plenty of meat, cheese, onions and sauce, four double meat-double cheese-double bacon burgers, a boneless T-bone steak with A1 Steak Sauce and a pan of peach cobbler."
493,01-Jul-97,Made no special request for a last meal. Had been fasting and refused to eat at all.
494,06-Sep-96,"Double cheeseburger (all the way), fries."
495,17-Jul-96,"Pizza, apple pie, and Root Beer. "
496,26-Jan-96,"Combination pizza, corn, jellied fruit salad, french fries, ice cream, chocolate...clair."
497,02-May-95,Had no final meal request.
498,06-Jan-94,"Salmon, potatoes, vegetable, green salad, desert."
499,17-Jan-77,"Barbecue ribs, chopped beef, hot links, baked beans, plain potato chips, coconut doughnuts and chocolate milk."
500,15-Aug-63,"Whole fruit: nectarines, peaches and plums."